0.707107 -0.707107
6.12303e-17 1
0.707107 -0.707107
1 0
0.707107 0.707107
6.12303e-17 1
0.707107 0.707107
1 0
-0.707107 -0.707107
-1 -1.22461e-16
0.707107 -0.707107
1 0
0.707107 -0.707107
6.12303e-17 1
-0.707107 -0.707107
-1.83691e-16 -1
-0.707107 0.707107
1 0
-0.707107 0.707107
-1 1.22461e-16
0.707107 0.707107
1 0
0.707107 0.707107
6.12303e-17 -1
0.707107 0.707107
6.12303e-17 1
0.707107 0.707107
6.12303e-17 -1
-0.707107 0.707107
6.12303e-17 -1
-0.707107 0.707107
1 2.44921e-16
0.707107 -0.707107
-1 -3.67382e-16
0.707107 0.707107
-2.20497e-15 1
-0.707107 0.707107
1 4.04256e-15
-0.707107 -0.707107
-6.0026e-15 1
-0.707107 -0.707107
-1 -4.16502e-15
-0.707107 -0.707107
1 4.04256e-15
0.707107 0.707107
