-0.707107 -0.707107
-1.83691e-16 1
0.707107 -0.707107
-1 -3.67382e-16
-0.707107 0.707107
-5.82027e-16 -1
0.707107 -0.707107
-1 -3.67382e-16
-0.707107 -0.707107
1 1.1331e-15
-0.707107 -0.707107
-2.20497e-15 1
-0.707107 0.707107
2.97069e-15 -1
0.707107 -0.707107
-2.84823e-15 1
-0.707107 -0.707107
-2.84823e-15 1
-0.707107 0.707107
-1 -2.787e-15
0.707107 0.707107
-1 -2.787e-15
0.707107 -0.707107
-1 -2.787e-15
0.707107 0.707107
2.97069e-15 -1
-0.707107 0.707107
2.97069e-15 -1
-0.707107 -0.707107
-2.20497e-15 1
0.707107 0.707107
-1 -3.67382e-16
-0.707107 0.707107
-1 -3.67382e-16
-0.707107 -0.707107
1 1.1331e-15
0.707107 0.707107
1.19433e-15 -1
0.707107 0.707107
1.19433e-15 -1
-0.707107 -0.707107
-2.20497e-15 1
-0.707107 -0.707107
-1 -3.67382e-16
-0.707107 -0.707107
